edge	weight	E1_cov	E1_hits	E10_cov	E10_hits	E100_cov	E100_hits	E1000_cov	E1000_hits
cdd_263940 (SCOP) scop_53821	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265430 (SCOP) scop_49561	0.58	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263942 (SCOP) scop_53755	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263943 (SCOP) scop_52787	0.43	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263944 (SCOP) scop_55297	0.64	0.0	0	0.0	0	0.0	0	0.0	0
cdd_100105 (SCOP) scop_51350	0.53	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263946 (SCOP) scop_55297	0.49	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263946 (SCOP) scop_56041	0.71	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261591 (SCOP) scop_55665	0.35	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261591 (SCOP) scop_54210	0.65	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266508 (SCOP) scop_56800	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266626 (SCOP) scop_46688	0.19	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260366 (SCOP) scop_51350	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260367 (SCOP) scop_100949	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260367 (SCOP) scop_54861	0.31	0.0	0	0.0	0	0.0	0	0.0	0
cdd_238353 (SCOP) scop_64483	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260370 (SCOP) scop_53685	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266516 (SCOP) scop_51988	0.75	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266542 (SCOP) scop_51988	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260375 (SCOP) scop_53162	0.77	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261400 (SCOP) scop_100938	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260377 (SCOP) scop_50036	0.28	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261369 (SCOP) scop_57769	0.24	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266524 (SCOP) scop_54861	0.37	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266525 (SCOP) scop_52539	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266525 (SCOP) scop_47894	0.52	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266526 (SCOP) scop_50728	0.8	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266526 (SCOP) scop_49561	0.056	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266526 (SCOP) scop_47026	0.19	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266526 (SCOP) scop_48064	0.046	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266526 (SCOP) scop_52798	0.16	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266528 (SCOP) scop_53334	0.4	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263971 (SCOP) scop_51350	0.79	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263972 (SCOP) scop_52742	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266533 (SCOP) scop_51350	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266534 (SCOP) scop_55728	0.25	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264487 (SCOP) scop_48725	0.56	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264488 (SCOP) scop_53719	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266538 (SCOP) scop_51350	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266539 (SCOP) scop_51350	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266540 (SCOP) scop_54825	0.62	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266540 (SCOP) scop_51350	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266541 (SCOP) scop_52539	0.67	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260398 (SCOP) scop_52832	0.81	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260398 (SCOP) scop_54402	0.15	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260399 (SCOP) scop_53696	0.78	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260279 (SCOP) scop_49776	0.6	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266546 (SCOP) scop_51734	0.71	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266546 (SCOP) scop_56326	0.99	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266547 (SCOP) scop_69571	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266551 (SCOP) scop_52539	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266552 (SCOP) scop_52539	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261433 (SCOP) scop_48725	0.49	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260313 (SCOP) scop_55680	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264507 (SCOP) scop_116747	0.84	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264509 (SCOP) scop_56058	0.66	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264509 (SCOP) scop_54861	0.028	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260415 (SCOP) scop_142337	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264512 (SCOP) scop_47322	0.69	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264512 (SCOP) scop_52373	0.058	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266561 (SCOP) scop_109603	0.33	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261442 (SCOP) scop_47615	0.6	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261443 (SCOP) scop_52008	0.92	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261443 (SCOP) scop_54848	0.32	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261443 (SCOP) scop_48591	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266564 (SCOP) scop_46688	0.34	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260194 (SCOP) scop_57423	0.14	0.0	0	0.0	0	0.0	0	0.0	0
cdd_197448 (SCOP) scop_50938	0.043	0.0	0	0.0	0	0.0	0	0.0	0
cdd_197448 (SCOP) scop_50964	0.032	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266569 (SCOP) scop_53222	0.03	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266569 (SCOP) scop_51734	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266569 (SCOP) scop_54861	0.52	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264522 (SCOP) scop_116914	0.28	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260427 (SCOP) scop_55810	0.6	0.0	0	0.0	0	0.0	0	0.0	0
cdd_153420 (SCOP) scop_48370	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266574 (SCOP) scop_54210	0.21	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266574 (SCOP) scop_52539	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266574 (SCOP) scop_51229	0.02	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266574 (SCOP) scop_54751	0.24	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260432 (SCOP) scop_81346	0.027	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260433 (SCOP) scop_161069	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266579 (SCOP) scop_57849	0.2	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266580 (SCOP) scop_52171	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266580 (SCOP) scop_51734	0.78	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263509 (SCOP) scop_51010	0.046	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263509 (SCOP) scop_51350	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261449 (SCOP) scop_50412	0.43	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266583 (SCOP) scop_54790	0.32	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261464 (SCOP) scop_48033	0.43	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261464 (SCOP) scop_55930	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266586 (SCOP) scop_46688	0.19	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266587 (SCOP) scop_52539	0.86	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263758 (SCOP) scop_103472	0.022	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260963 (SCOP) scop_46688	0.35	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260326 (SCOP) scop_53731	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260454 (SCOP) scop_74981	0.54	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266599 (SCOP) scop_56111	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260458 (SCOP) scop_56218	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261488 (SCOP) scop_56795	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_241902 (SCOP) scop_51268	0.39	0.0	0	0.0	0	0.0	0	0.0	0
cdd_213395 (SCOP) scop_46556	0.047	0.0	0	0.0	0	0.0	0	0.0	0
cdd_213395 (SCOP) scop_51343	0.32	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260469 (SCOP) scop_54636	0.57	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263542 (SCOP) scop_54861	0.6	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263542 (SCOP) scop_51350	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264492 (SCOP) scop_54861	0.8	0.0	0	0.0	0	0.0	0	0.0	0
cdd_262530 (SCOP) scop_48618	0.51	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266630 (SCOP) scop_46688	0.48	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261441 (SCOP) scop_53799	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260488 (SCOP) scop_51350	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_187786 (SCOP) scop_46688	0.14	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261004 (SCOP) scop_55485	0.44	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261518 (SCOP) scop_55297	0.48	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260496 (SCOP) scop_51268	0.27	0.0	0	0.0	0	0.0	0	0.0	0
cdd_246675 (SCOP) scop_51350	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266645 (SCOP) scop_46688	0.4	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261339 (SCOP) scop_47363	0.46	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263577 (SCOP) scop_47472	0.3	0.0	0	0.0	0	0.0	0	0.0	0
cdd_213405 (SCOP) scop_48370	0.42	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261022 (SCOP) scop_52517	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260251 (SCOP) scop_48112	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263080 (SCOP) scop_50412	0.94	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263080 (SCOP) scop_52342	0.58	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265458 (SCOP) scop_47768	0.1	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265458 (SCOP) scop_88722	0.72	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261038 (SCOP) scop_53849	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_241585 (SCOP) scop_57015	0.14	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266674 (SCOP) scop_53596	0.71	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265459 (SCOP) scop_63736	0.75	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265459 (SCOP) scop_55485	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260534 (SCOP) scop_81453	0.026	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265655 (SCOP) scop_49379	0.041	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265655 (SCOP) scop_55549	0.48	0.0	0	0.0	0	0.0	0	0.0	0
cdd_238008 (SCOP) scop_47472	0.27	0.0	0	0.0	0	0.0	0	0.0	0
cdd_238009 (SCOP) scop_47472	0.27	0.0	0	0.0	0	0.0	0	0.0	0
cdd_262078 (SCOP) scop_51734	0.023	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266485 (SCOP) scop_50128	0.8	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266485 (SCOP) scop_51734	0.75	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260256 (SCOP) scop_57769	0.24	0.0	0	0.0	0	0.0	0	0.0	0
cdd_238155 (SCOP) scop_47472	0.4	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266695 (SCOP) scop_46688	0.21	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260403 (SCOP) scop_50485	0.18	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260403 (SCOP) scop_53327	0.84	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266698 (SCOP) scop_48725	0.25	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265675 (SCOP) scop_64181	0.12	0.0	0	0.0	0	0.0	0	0.0	0
cdd_265675 (SCOP) scop_54630	0.48	0.0	0	0.0	0	0.0	0	0.0	0
cdd_212557 (SCOP) scop_46688	0.13	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261368 (SCOP) scop_50036	0.7	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261368 (SCOP) scop_57902	0.076	0.0	0	0.0	0	0.0	0	0.0	0
cdd_238113 (SCOP) scop_50493	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_260430 (SCOP) scop_53632	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_176599 (SCOP) scop_49451	0.47	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261284 (SCOP) scop_56435	0.54	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261594 (SCOP) scop_81625	0.46	0.0	0	0.0	0	0.0	0	0.0	0
cdd_245211 (SCOP) scop_51997	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_245211 (SCOP) scop_48167	0.17	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264357 (SCOP) scop_52517	0.79	0.0	0	0.0	0	0.0	0	0.0	0
cdd_266492 (SCOP) scop_101385	0.35	0.0	0	0.0	0	0.0	0	0.0	0
cdd_248061 (SCOP) scop_51160	0.19	0.0	0	0.0	0	0.0	0	0.0	0
cdd_248061 (SCOP) scop_69348	0.071	0.0	0	0.0	0	0.0	0	0.0	0
cdd_245232 (SCOP) scop_140989	0.029	0.0	0	0.0	0	0.0	0	0.0	0
cdd_261105 (SCOP) scop_50198	0.34	0.0	0	0.0	0	0.0	0	0.0	0
cdd_264361 (SCOP) scop_56316	1.0	0.0	0	0.0	0	0.0	0	0.0	0
cdd_263508 (SCOP) scop_47698	0.37	0.0	0	0.0	0	0.0	0	0.0	0
cdd_247803 (SCOP) scop_52539	0.74	0.0	0	0.0	0	0.0	0	0.0	0
cdd_238078 (SCOP) scop_53849	0.88	0.0	0	0.0	0	0.0	0	0.0	0
